date,gasoline
1993-07-04,8033
1993-07-11,7581
1993-07-18,8187
1993-07-25,7629
1993-08-01,7386
1993-08-08,7889
1993-08-15,7478
1993-08-22,7485
1993-08-29,7387
1993-09-05,7276
1993-09-12,7613
1993-09-19,7704
1993-09-26,7788
1993-10-03,7640
1993-10-10,7552
1993-10-17,7992
1993-10-24,6845
1993-10-31,7430
1993-11-07,8074
1993-11-14,7684
1993-11-21,7411
1993-11-28,7567
1993-12-05,7124
1993-12-12,7124
1993-12-19,7157
1993-12-26,6321
1994-01-02,6953
1994-01-09,7487
1994-01-16,6993
1994-01-23,7372
1994-01-30,7286
1994-02-06,7214
1994-02-13,7521
1994-02-20,7481
1994-02-27,7398
1994-03-06,7187
1994-03-13,7720
1994-03-20,7042
1994-03-27,7892
1994-04-03,6824
1994-04-10,7552
1994-04-17,7938
1994-04-24,8028
1994-05-01,7461
1994-05-08,7770
1994-05-15,7650
1994-05-22,7909
1994-05-29,7930
1994-06-05,7562
1994-06-12,8006
1994-06-19,7523
1994-06-26,7581
1994-07-03,7638
1994-07-10,8187
1994-07-17,7836
1994-07-24,7750
1994-07-31,8061
1994-08-07,6955
1994-08-14,7601
1994-08-21,7763
1994-08-28,7733
1994-09-04,7515
1994-09-11,7562
1994-09-18,8143
1994-09-25,8204
1994-10-02,7432
1994-10-09,7377
1994-10-16,7929
1994-10-23,7431
1994-10-30,7593
1994-11-06,8229
1994-11-13,7933
1994-11-20,8278
1994-11-27,7718
1994-12-04,7134
1994-12-11,7534
1994-12-18,7260
1994-12-25,6976
1995-01-01,7267
1995-01-08,7132
1995-01-15,7398
1995-01-22,7670
1995-01-29,7194
1995-02-05,7548
1995-02-12,7834
1995-02-19,7797
1995-02-26,8195
1995-03-05,7588
1995-03-12,7543
1995-03-19,8156
1995-03-26,7731
1995-04-02,7539
1995-04-09,8052
1995-04-16,8183
1995-04-23,7797
1995-04-30,8460
1995-05-07,8055
1995-05-14,7971
1995-05-21,8489
1995-05-28,8238
1995-06-04,7996
1995-06-11,7866
1995-06-18,8483
1995-06-25,8213
1995-07-02,8402
1995-07-09,7628
1995-07-16,8411
1995-07-23,8206
1995-07-30,7825
1995-08-06,8078
1995-08-13,8249
1995-08-20,7821
1995-08-27,7257
1995-09-03,8106
1995-09-10,7879
1995-09-17,7712
1995-09-24,8103
1995-10-01,7449
1995-10-08,8477
1995-10-15,8021
1995-10-22,7840
1995-10-29,7439
1995-11-05,7949
1995-11-12,7489
1995-11-19,8115
1995-11-26,7035
1995-12-03,7958
1995-12-10,7513
1995-12-17,6949
1995-12-24,7393
1995-12-31,7513
1996-01-07,7520
1996-01-14,7868
1996-01-21,7826
1996-01-28,7338
1996-02-04,7877
1996-02-11,7757
1996-02-18,7900
1996-02-25,7568
1996-03-03,7280
1996-03-10,7804
1996-03-17,7433
1996-03-24,8079
1996-03-31,7592
1996-04-07,8267
1996-04-14,7512
1996-04-21,8080
1996-04-28,7836
1996-05-05,7946
1996-05-12,7957
1996-05-19,7956
1996-05-26,8563
1996-06-02,8015
1996-06-09,7968
1996-06-16,8152
1996-06-23,8067
1996-06-30,8279
1996-07-07,7722
1996-07-14,7818
1996-07-21,8364
1996-07-28,8369
1996-08-04,7843
1996-08-11,7537
1996-08-18,8000
1996-08-25,7619
1996-09-01,7935
1996-09-08,7637
1996-09-15,7958
1996-09-22,7991
1996-09-29,7682
1996-10-06,7804
1996-10-13,8073
1996-10-20,7883
1996-10-27,7370
1996-11-03,7706
1996-11-10,8355
1996-11-17,8051
1996-11-24,7740
1996-12-01,7122
1996-12-08,7440
1996-12-15,7408
1996-12-22,7265
1996-12-29,7125
1997-01-05,7013
1997-01-12,7530
1997-01-19,8011
1997-01-26,7779
1997-02-02,7417
1997-02-09,8125
1997-02-16,7729
1997-02-23,7492
1997-03-02,8115
1997-03-09,7791
1997-03-16,7914
1997-03-23,7922
1997-03-30,8224
1997-04-06,7765
1997-04-13,8253
1997-04-20,8088
1997-04-27,8154
1997-05-04,7590
1997-05-11,8009
1997-05-18,8557
1997-05-25,8234
1997-06-01,8489
1997-06-08,8606
1997-06-15,8595
1997-06-22,8600
1997-06-29,8290
1997-07-06,8253
1997-07-13,8539
1997-07-20,7922
1997-07-27,8695
1997-08-03,8053
1997-08-10,8215
1997-08-17,7746
1997-08-24,8140
1997-08-31,8379
1997-09-07,8221
1997-09-14,8315
1997-09-21,7741
1997-09-28,8355
1997-10-05,8025
1997-10-12,7793
1997-10-19,8043
1997-10-26,7578
1997-11-02,8437
1997-11-09,7955
1997-11-16,8151
1997-11-23,8201
1997-11-30,7832
1997-12-07,7673
1997-12-14,7779
1997-12-21,7940
1997-12-28,7670
1998-01-04,7673
1998-01-11,8201
1998-01-18,8005
1998-01-25,7662
1998-02-01,7744
1998-02-08,8103
1998-02-15,7753
1998-02-22,7996
1998-03-01,8992
1998-03-08,8031
1998-03-15,8303
1998-03-22,8118
1998-03-29,8190
1998-04-05,7503
1998-04-12,8524
1998-04-19,8337
1998-04-26,8205
1998-05-03,8312
1998-05-10,8103
1998-05-17,8160
1998-05-24,8644
1998-05-31,8755
1998-06-07,8234
1998-06-14,8749
1998-06-21,8125
1998-06-28,8997
1998-07-05,8317
1998-07-12,8981
1998-07-19,8288
1998-07-26,8607
1998-08-02,8713
1998-08-09,8722
1998-08-16,7873
1998-08-23,8359
1998-08-30,8058
1998-09-06,8797
1998-09-13,8049
1998-09-20,8099
1998-09-27,8360
1998-10-04,8195
1998-10-11,7711
1998-10-18,8381
1998-10-25,8313
1998-11-01,8162
1998-11-08,8314
1998-11-15,8588
1998-11-22,8153
1998-11-29,8519
1998-12-06,7385
1998-12-13,7810
1998-12-20,8186
1998-12-27,7866
1999-01-03,7532
1999-01-10,8756
1999-01-17,7948
1999-01-24,8316
1999-01-31,8273
1999-02-07,8451
1999-02-14,8367
1999-02-21,8337
1999-02-28,7959
1999-03-07,7878
1999-03-14,8066
1999-03-21,8923
1999-03-28,7825
1999-04-04,8059
1999-04-11,8761
1999-04-18,8275
1999-04-25,8401
1999-05-02,8193
1999-05-09,8827
1999-05-16,8522
1999-05-23,9045
1999-05-30,9076
1999-06-06,8679
1999-06-13,8622
1999-06-20,8639
1999-06-27,8537
1999-07-04,8644
1999-07-11,8519
1999-07-18,8415
1999-07-25,8810
1999-08-01,8778
1999-08-08,8593
1999-08-15,8504
1999-08-22,8865
1999-08-29,8557
1999-09-05,8433
1999-09-12,8406
1999-09-19,8521
1999-09-26,8532
1999-10-03,8333
1999-10-10,8416
1999-10-17,8404
1999-10-24,8416
1999-10-31,7670
1999-11-07,8557
1999-11-14,8638
1999-11-21,8590
1999-11-28,8851
1999-12-05,7907
1999-12-12,7543
1999-12-19,7919
1999-12-26,8385
2000-01-02,7642
2000-01-09,8375
2000-01-16,8524
2000-01-23,8072
2000-01-30,7608
2000-02-06,8662
2000-02-13,8201
2000-02-20,8384
2000-02-27,7896
2000-03-05,8655
2000-03-12,8557
2000-03-19,8616
2000-03-26,8302
2000-04-02,8679
2000-04-09,8242
2000-04-16,8408
2000-04-23,9075
2000-04-30,8863
2000-05-07,8403
2000-05-14,8895
2000-05-21,8475
2000-05-28,8620
2000-06-04,8519
2000-06-11,8844
2000-06-18,8361
2000-06-25,8614
2000-07-02,8759
2000-07-09,8813
2000-07-16,8786
2000-07-23,8960
2000-07-30,8644
2000-08-06,8573
2000-08-13,8814
2000-08-20,8153
2000-08-27,7819
2000-09-03,8340
2000-09-10,8663
2000-09-17,8604
2000-09-24,8942
2000-10-01,8780
2000-10-08,8216
2000-10-15,8419
2000-10-22,8063
2000-10-29,8233
2000-11-05,8711
2000-11-12,8475
2000-11-19,8400
2000-11-26,8693
2000-12-03,7825
2000-12-10,8225
2000-12-17,7894
2000-12-24,7338
2000-12-31,8589
2001-01-07,8032
2001-01-14,7850
2001-01-21,8187
2001-01-28,8489
2001-02-04,8425
2001-02-11,8484
2001-02-18,8475
2001-02-25,8507
2001-03-04,8306
2001-03-11,8438
2001-03-18,8708
2001-03-25,8404
2001-04-01,8665
2001-04-08,8275
2001-04-15,8917
2001-04-22,8270
2001-04-29,8809
2001-05-06,8428
2001-05-13,8393
2001-05-20,8921
2001-05-27,9036
2001-06-03,8622
2001-06-10,9095
2001-06-17,9176
2001-06-24,9007
2001-07-01,8959
2001-07-08,8671
2001-07-15,9035
2001-07-22,8943
2001-07-29,8612
2001-08-05,8529
2001-08-12,8969
2001-08-19,7834
2001-08-26,8514
2001-09-02,8500
2001-09-09,8766
2001-09-16,8619
2001-09-23,8702
2001-09-30,8797
2001-10-07,8771.142
2001-10-14,8612
2001-10-21,8867.714
2001-10-28,8517
2001-11-04,8327
2001-11-11,8622
2001-11-18,8887.714
2001-11-25,8859.571
2001-12-02,8287.714
2001-12-09,8359.142
2001-12-16,8048.571
2001-12-23,8184.285
2001-12-30,8222.857
2002-01-06,8116.857
2002-01-13,8427.714
2002-01-20,8729.142
2002-01-27,8782.285
2002-02-03,8277.428
2002-02-10,8713.142
2002-02-17,8621
2002-02-24,8386
2002-03-03,8865
2002-03-10,8840
2002-03-17,8684
2002-03-24,8699
2002-03-31,8521
2002-04-07,8548
2002-04-14,9190
2002-04-21,8685
2002-04-28,8778
2002-05-05,9004
2002-05-12,8771
2002-05-19,8752
2002-05-26,9172
2002-06-02,9004
2002-06-09,8985
2002-06-16,9056
2002-06-23,9093
2002-06-30,9297
2002-07-07,9270
2002-07-14,8939
2002-07-21,9173
2002-07-28,9135
2002-08-04,8844
2002-08-11,8899
2002-08-18,8625
2002-08-25,8582
2002-09-01,8895
2002-09-08,9090
2002-09-15,8653
2002-09-22,9022
2002-09-29,9324
2002-10-06,8759
2002-10-13,8540
2002-10-20,8667
2002-10-27,9060
2002-11-03,8616
2002-11-10,8854
2002-11-17,9063
2002-11-24,8989
2002-12-01,8411
2002-12-08,8335
2002-12-15,8645
2002-12-22,8793
2002-12-29,8551
2003-01-05,8106
2003-01-12,8454
2003-01-19,8619
2003-01-26,8421
2003-02-02,9020
2003-02-09,8596
2003-02-16,8666
2003-02-23,8284
2003-03-02,8458
2003-03-09,8640
2003-03-16,8737
2003-03-23,8358
2003-03-30,8834
2003-04-06,8894
2003-04-13,8992
2003-04-20,9299
2003-04-27,8516
2003-05-04,8529
2003-05-11,8880
2003-05-18,8833
2003-05-25,9476
2003-06-01,9050
2003-06-08,8763
2003-06-15,9177
2003-06-22,9563
2003-06-29,9303
2003-07-06,9381
2003-07-13,9325
2003-07-20,9668
2003-07-27,9337
2003-08-03,8886
2003-08-10,8974
2003-08-17,9166
2003-08-24,8690
2003-08-31,9190
2003-09-07,9156
2003-09-14,8754
2003-09-21,9413
2003-09-28,9316
2003-10-05,8995
2003-10-12,9232
2003-10-19,8725
2003-10-26,8979
2003-11-02,8776
2003-11-09,8930
2003-11-16,9166
2003-11-23,8726
2003-11-30,8686
2003-12-07,8411
2003-12-14,8426
2003-12-21,8543
2003-12-28,8514
2004-01-04,8627
2004-01-11,8727
2004-01-18,8796
2004-01-25,8970
2004-02-01,8968
2004-02-08,9044
2004-02-15,8818
2004-02-22,8731
2004-02-29,9249
2004-03-07,9338
2004-03-14,8973
2004-03-21,9255
2004-03-28,8926
2004-04-04,9373
2004-04-11,9119
2004-04-18,9154
2004-04-25,9259
2004-05-02,9045
2004-05-09,9219
2004-05-16,9194
2004-05-23,9199
2004-05-30,9398
2004-06-06,9300
2004-06-13,8840
2004-06-20,9310
2004-06-27,9263
2004-07-04,9472
2004-07-11,9521
2004-07-18,9424
2004-07-25,9267
2004-08-01,9453
2004-08-08,9234
2004-08-15,9005
2004-08-22,8922
2004-08-29,8915
2004-09-05,8917
2004-09-12,9177
2004-09-19,8883
2004-09-26,8977
2004-10-03,9217
2004-10-10,9237
2004-10-17,8988
2004-10-24,9204
2004-10-31,9107
2004-11-07,9268
2004-11-14,9068
2004-11-21,9329
2004-11-28,9287
2004-12-05,8710
2004-12-12,8695
2004-12-19,8881
2004-12-26,8848
2005-01-02,8837
2005-01-09,8825
2005-01-16,8898
2005-01-23,8884
2005-01-30,9014
2005-02-06,9131
2005-02-13,9069
2005-02-20,9075
2005-02-27,9095
2005-03-06,9089
2005-03-13,9170
2005-03-20,9306
2005-03-27,9024
2005-04-03,9175
2005-04-10,9269
